ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
bigoted	2.81000e-01	2.81000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.19000e-01	0.00000e+00
birch	1.72000e-01	1.72000e-01	8.19569e-02	1.00000e+00	2.23001e-04	0.00000e+00	1.19425e-04	-3.28000e-01	-5.22207e-04
birth	2.03000e-01	2.03000e-01	7.69523e+00	9.28211e-01	-5.29748e-04	0.00000e+00	4.79222e-04	-2.97000e-01	1.12328e-03
bitch	2.97000e-01	2.97000e-01	1.81353e+01	5.81121e+00	-4.11646e-04	0.00000e+00	1.54778e-03	-2.03000e-01	5.96599e-04
blemish	2.66000e-01	2.66000e-01	1.10612e-01	0.00000e+00	-1.06957e-05	0.00000e+00	5.34785e-06	-2.34000e-01	1.78685e-05
blindfold	2.66000e-01	2.66000e-01	7.97751e-01	1.00000e+00	1.53787e-04	0.00000e+00	1.54032e-04	-2.34000e-01	-2.56919e-04
bloodshed	8.59000e-01	8.59000e-01	3.68345e-01	0.00000e+00	-3.56173e-05	0.00000e+00	1.78087e-05	3.59000e-01	-9.12889e-05
bloodthirsty	9.22000e-01	9.22000e-01	1.43628e+00	6.83333e-01	1.89174e-05	0.00000e+00	1.48341e-04	4.22000e-01	5.69949e-05
bloody	7.81000e-01	7.81000e-01	2.24228e+01	7.09460e+00	-5.29862e-04	0.00000e+00	1.90326e-03	2.81000e-01	-1.06299e-03
blues	2.19000e-01	2.19000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.81000e-01	0.00000e+00
bomb	9.35000e-01	9.35000e-01	2.92932e+01	1.72724e+01	1.15612e-03	0.00000e+00	3.41059e-03	4.35000e-01	3.59050e-03
bombard	7.40000e-01	7.40000e-01	1.36943e+00	1.42857e-01	-9.94290e-05	0.00000e+00	8.27039e-05	2.40000e-01	-1.70367e-04
bombardment	8.44000e-01	8.44000e-01	5.66226e-02	0.00000e+00	-5.47517e-06	0.00000e+00	2.73758e-06	3.44000e-01	-1.34468e-05
bomber	7.34000e-01	7.34000e-01	1.00952e+00	2.50000e-01	-3.98843e-05	0.00000e+00	7.76736e-05	2.34000e-01	-6.66315e-05
bombers	7.97000e-01	7.97000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.97000e-01	0.00000e+00
bombing	9.38000e-01	9.38000e-01	2.18322e+00	3.00000e+00	4.81670e-04	0.00000e+00	4.51943e-04	4.38000e-01	1.50621e-03
breakingnews	2.50000e-01	2.50000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.50000e-01	0.00000e+00
brutal	8.28000e-01	8.28000e-01	3.75201e+00	1.11111e+00	-1.06219e-04	0.00000e+00	3.09694e-04	3.28000e-01	-2.48737e-04
brutality	9.22000e-01	9.22000e-01	1.17850e-01	0.00000e+00	-1.13956e-05	0.00000e+00	5.69779e-06	4.22000e-01	-3.43329e-05
buck	2.34000e-01	2.34000e-01	4.34776e+00	7.14286e-02	-4.03915e-04	0.00000e+00	2.18452e-04	-2.66000e-01	7.67068e-04
bug	1.88000e-01	1.88000e-01	4.75027e+01	1.42017e+01	-1.31377e-03	0.00000e+00	3.93642e-03	-3.12000e-01	2.92642e-03
burial	7.03000e-01	7.03000e-01	9.22157e-01	3.33333e-01	-1.21933e-05	0.00000e+00	8.30720e-05	2.03000e-01	-1.76718e-05
buzz	2.34000e-01	2.34000e-01	1.15010e+01	3.27778e-01	-1.03640e-03	0.00000e+00	5.93893e-04	-2.66000e-01	1.96821e-03
campaigning	1.25000e-01	1.25000e-01	4.87805e-03	4.16667e-02	9.15022e-06	0.00000e+00	5.04680e-06	-3.75000e-01	-2.44977e-05
