post_id	insight	agency
A0635A	2.28571e-02	2.85714e-02
A064A9	3.89105e-03	2.33463e-02
A064BA	9.43396e-03	4.71698e-02
A06515	1.23457e-02	3.70370e-02
A0660F	1.40845e-02	9.38967e-03
A06614	3.57143e-02	2.38095e-02
A06621	0.00000e+00	1.78571e-02
A06711	2.77078e-02	2.51889e-02
A06785	2.25225e-02	3.60360e-02
A067AB	1.73913e-02	1.30435e-02
A069B0	2.06897e-02	6.89655e-03
A06A62	0.00000e+00	0.00000e+00
A06B1E	3.07971e-02	7.24638e-02
A06BBF	3.28767e-02	1.91781e-02
A06C03	1.38889e-02	2.31481e-02
A06C48	1.20482e-02	1.20482e-02
A06C84	1.05263e-02	3.15789e-02
A06CA8	2.05761e-02	1.23457e-02
A06DB3	1.96078e-02	2.94118e-02
A06E13	2.69750e-02	1.54143e-02
A06E75	2.22965e-02	2.89855e-02
A06E8F	1.54028e-02	3.67299e-02
A06E9F	1.08303e-02	2.16606e-02
A06F36	5.15464e-03	6.18557e-02
A06F85	1.57835e-02	2.93123e-02
A06FE7	1.77515e-02	3.25444e-02
A07028	1.84049e-02	1.22699e-02
A0704B	1.59236e-02	2.54777e-02
A07068	1.95531e-02	8.37989e-03
A0707A	1.14943e-02	5.74713e-03
A07104	2.82258e-02	4.03226e-03
A07143	3.77358e-02	5.03145e-02
A07177	1.76991e-02	0.00000e+00
A0719A	3.44828e-02	1.72414e-02
A071AC	2.81690e-02	2.11268e-02
A07291	9.69305e-03	2.42326e-02
A072F9	2.01729e-02	4.89914e-02
A0730E	7.19424e-03	2.87770e-02
A0733A	3.27869e-02	6.55738e-02
A07383	4.63320e-02	2.70270e-02
A073B1	3.35277e-02	2.18659e-02
A074F0	4.42804e-02	2.76753e-02
A07515	2.38095e-02	1.42857e-02
A0757F	1.04712e-02	5.23560e-03
A07599	2.66667e-02	1.33333e-02
A0759E	2.18522e-02	2.91363e-02
A07604	2.20820e-02	3.78549e-02
A0760F	2.70270e-02	6.75676e-02
A076D1	1.60772e-02	2.57235e-02
A07700	2.35294e-02	1.17647e-02
A0774B	2.00501e-02	1.75439e-02
A07757	2.71739e-02	5.43478e-03
A077A2	3.59955e-02	2.02475e-02
A077B7	1.14943e-02	2.29885e-02
A077E2	2.85714e-02	2.85714e-02
A07812	8.92857e-03	0.00000e+00
A0789B	4.68384e-02	3.27869e-02
A07966	2.35988e-02	3.09735e-02
A0797C	0.00000e+00	0.00000e+00
A07A73	3.10345e-02	2.06897e-02
A07A98	2.56410e-02	4.70085e-02
A07AD1	4.40415e-02	4.14508e-02
A07B3B	1.13636e-02	2.02020e-02
A07B87	2.97030e-02	4.95050e-02
A07BD6	1.92000e-02	2.40000e-02
A07BDD	1.94647e-02	1.94647e-02
A07C35	2.34234e-02	4.50450e-02
A07CA9	1.25945e-02	2.51889e-02
A07D1F	3.00000e-02	3.00000e-02
A07D4D	3.02013e-02	6.71141e-03
A07E7A	0.00000e+00	7.60870e-02
A07E90	0.00000e+00	7.69231e-03
A07F27	1.31004e-02	2.62009e-02
A07F56	5.71429e-02	4.76190e-02
A07F8D	3.58209e-02	1.19403e-02
A07FC2	2.60870e-02	6.08696e-02
A08019	7.04225e-03	1.40845e-02
A0802B	1.73776e-02	3.00158e-02
A08053	0.00000e+00	4.01786e-02
A080CB	7.29927e-03	2.18978e-02
A08130	1.47783e-02	4.92611e-03
A08174	1.80723e-02	7.83133e-02
A0821A	1.32159e-02	2.20264e-02
A08236	3.04878e-02	4.87805e-02
A0823A	2.67380e-02	3.20856e-02
A082FD	2.08333e-02	1.66667e-02
A0830B	2.45902e-02	2.73224e-02
A08374	1.18110e-02	2.36220e-02
A083FC	2.08877e-02	1.17493e-02
A08456	1.41956e-02	1.89274e-02
A08510	2.06897e-02	1.37931e-02
A08542	3.60000e-02	2.00000e-02
A085C8	2.25989e-02	3.67232e-02
A08611	5.23560e-03	2.61780e-02
A08645	2.11765e-02	2.70588e-02
A086DE	1.92308e-02	3.84615e-02
A086DF	2.37288e-02	4.06780e-02
A0870F	2.07792e-02	3.11688e-02
A08790	5.13834e-02	2.37154e-02
A087A2	1.98020e-02	1.32013e-02
A088A1	1.38191e-02	2.63819e-02
A08909	1.75131e-02	1.75131e-02
A089B5	1.27119e-02	2.25989e-02
A089BC	1.88679e-02	1.25786e-02
A089E2	2.50896e-02	3.94265e-02
A089F0	5.30973e-02	4.42478e-02
A08AE6	2.18978e-02	2.91971e-02
A08C24	1.39665e-02	2.23464e-02
A08C32	1.48515e-02	1.98020e-02
A08CE4	2.75591e-02	3.93701e-02
A08D37	2.89017e-02	3.17919e-02
A08D6F	1.18343e-02	2.95858e-02
A08D7A	4.04313e-02	4.58221e-02
A08DB7	1.06762e-02	2.13523e-02
A08DCC	9.46372e-03	2.20820e-02
A08DD5	2.12766e-02	3.54610e-02
A08DFE	2.69231e-02	2.69231e-02
A08E01	1.07527e-02	1.79211e-02
A08E10	1.53584e-02	2.21843e-02
A08E16	2.10136e-02	2.96663e-02
A08E78	1.67598e-02	1.11732e-02
A08EF0	2.36220e-02	2.36220e-02
A08F49	3.03867e-02	3.59116e-02
A08F80	1.92308e-02	0.00000e+00
A08F8B	9.04977e-03	3.61991e-02
A09089	3.12500e-02	3.12500e-02
A09100	2.12515e-02	9.44510e-03
A09166	1.52672e-02	2.29008e-02
A091FC	1.54110e-02	2.56849e-02
A09208	1.42857e-02	1.42857e-02
A0922D	8.13008e-03	2.43902e-02
A09233	8.33333e-03	8.33333e-03
A09285	9.70874e-03	4.20712e-02
A092F1	1.47601e-02	2.58303e-02
A09308	0.00000e+00	2.30415e-02
A09310	1.26582e-02	2.53165e-02
A09316	1.92308e-02	0.00000e+00
A09393	1.12613e-02	3.15315e-02
A093A2	2.96296e-02	7.40741e-03
A093BB	4.06977e-02	1.74419e-02
A093D8	1.53846e-02	4.61538e-02
A094CA	1.47874e-02	3.14233e-02
A094FE	2.57143e-02	2.28571e-02
A0957A	2.04918e-02	2.32240e-02
A095CA	2.70270e-02	5.40541e-02
A095EB	4.27350e-02	2.56410e-02
A096AE	3.52113e-02	1.76056e-02
A096EA	1.67464e-02	2.15311e-02
A096FD	3.93939e-02	5.45455e-02
A09706	2.48227e-02	1.41844e-02
A0974A	1.23967e-02	8.26446e-03
A0987B	1.42857e-02	3.57143e-02
A098F7	3.60360e-02	5.85586e-02
A0992A	2.57186e-02	3.78215e-02
A099A2	4.00000e-02	2.00000e-02
A09A1B	1.47601e-02	2.95203e-02
A09B97	1.15830e-02	1.73745e-02
A09B9E	1.40845e-02	2.81690e-02
A09BC6	2.33645e-02	2.10280e-02
A09C69	3.47826e-02	3.47826e-02
A09CB9	2.56410e-02	3.84615e-02
A09D45	3.08483e-02	3.59897e-02
A09D78	6.25000e-02	0.00000e+00
A09DAD	8.47458e-03	0.00000e+00
A09E02	1.53846e-02	2.30769e-02
A09FE1	0.00000e+00	1.47059e-02
A0A0C6	3.33333e-02	2.91667e-02
A0A0F5	1.33779e-02	1.00334e-02
A0A178	2.06612e-02	2.47934e-02
A0A17B	1.62933e-02	2.64766e-02
A0A244	8.06452e-03	8.06452e-03
A0A437	1.61054e-02	2.34261e-02
A0A4AF	1.41509e-02	2.47642e-02
A0A5A8	0.00000e+00	1.69492e-02
A0A5E2	2.23881e-02	2.98507e-02
A0A631	2.01207e-02	1.00604e-02
A0A680	2.01342e-02	4.02685e-02
A0A743	1.16279e-02	1.16279e-02
A0A79B	2.39130e-02	2.39130e-02
A0A7DA	1.22549e-02	9.80392e-03
A0A7F8	7.49064e-03	1.12360e-02
A0A811	2.91971e-02	3.64964e-02
A0A8B0	3.84615e-02	1.73077e-02
A0A8B7	1.02564e-02	8.58974e-02
A0A91B	1.65746e-02	2.48619e-02
A0A9C2	3.12500e-02	1.04167e-02
A0AA12	1.94346e-02	2.65018e-02
A0AA18	1.01010e-02	0.00000e+00
A0AC22	3.00207e-02	1.65631e-02
A0AC78	1.19048e-02	3.96825e-02
A0AC7A	1.86625e-02	2.02177e-02
A0AC8A	2.01511e-02	4.03023e-02
A0ACF2	3.54839e-02	2.90323e-02
A0AD11	2.58216e-02	3.75587e-02
A0AD41	1.14943e-02	1.14943e-02
A0ADC3	2.12766e-02	4.78723e-02
A0ADDD	1.89702e-02	2.43902e-02
A0AE58	2.05128e-02	6.66667e-02
A0AEA7	2.37797e-02	2.62829e-02
A0AF42	3.36700e-03	1.68350e-02
A0B057	1.10865e-02	1.33038e-02
A0B1EE	2.14286e-02	1.42857e-02
A0B249	2.02703e-02	2.47748e-02
A0B25E	0.00000e+00	2.60870e-02
A0B290	2.59259e-02	5.18519e-02
A0B2AE	2.04082e-02	3.06122e-02
A0B2BE	3.82166e-02	1.65605e-02
A0B2F4	2.98507e-02	8.95522e-03
A0B32C	1.14416e-02	1.83066e-02
A0B353	1.71429e-02	2.85714e-02
A0B35D	1.14943e-02	3.83142e-03
A0B3A6	1.37931e-02	1.37931e-02
A0B407	1.40351e-02	2.10526e-02
A0B43B	3.34728e-02	5.43933e-02
A0B4B1	1.74216e-02	2.78746e-02
A0B535	2.58780e-02	3.32717e-02
A0B5A4	7.24638e-03	1.44928e-02
A0B5C7	2.95567e-02	3.69458e-02
A0B67D	0.00000e+00	1.90476e-02
A0B6F2	2.96912e-02	1.42518e-02
A0B7AB	0.00000e+00	0.00000e+00
A0B7BD	2.88066e-02	3.70370e-02
A0B7DC	1.14286e-02	4.00000e-02
A0B81C	1.91489e-02	4.89362e-02
A0B883	1.19048e-02	2.97619e-02
A0B8FB	2.47253e-02	3.29670e-02
A0B915	7.75194e-03	1.55039e-02
A0B95F	8.69565e-03	8.69565e-03
A0B96A	2.97872e-02	3.40426e-02
A0B974	1.86916e-02	2.80374e-02
A0B981	1.92893e-02	3.14721e-02
A0B9A1	1.83824e-02	1.83824e-02
A0BA2A	3.26531e-02	3.67347e-02
A0BA2E	2.50000e-02	3.33333e-02
A0BA8F	8.26446e-03	1.23967e-02
A0BAA1	3.66972e-02	2.01835e-02
A0BB33	5.30303e-02	3.78788e-02
A0BB76	1.59574e-02	5.31915e-03
A0BB98	3.50691e-02	5.63231e-02
A0BBF8	1.81818e-02	1.59091e-02
A0BC69	4.43038e-02	3.79747e-02
A0BCBC	7.19424e-03	3.95683e-02
A0BD4B	1.33630e-02	2.67261e-02
A0BD97	1.71429e-02	1.14286e-02
A0BDAC	2.66904e-02	2.66904e-02
A0BDF2	1.26263e-02	3.03030e-02
A0BE59	1.81818e-02	7.27273e-02
A0BE74	3.08483e-02	1.54242e-02
A0BEAD	1.86047e-02	3.72093e-02
A0BEDA	1.16959e-02	1.55945e-02
A0BFC9	1.92308e-02	7.69231e-02
A0BFFE	2.81124e-02	1.20482e-02
A0C004	3.85604e-02	4.37018e-02
A0C0B5	1.32275e-02	1.58730e-02
A0C18C	4.54545e-02	4.81283e-02
A0C1C1	4.40098e-02	3.91198e-02
A0C1C3	4.48113e-02	2.83019e-02
A0C2A5	9.52381e-03	1.90476e-02
A0C2FF	1.50602e-02	2.40964e-02
A0C356	6.84932e-03	2.05479e-02
A0C370	2.04082e-02	5.61224e-02
A0C3A3	1.83066e-02	1.37300e-02
A0C3C8	0.00000e+00	0.00000e+00
A0C3F3	2.09790e-02	3.32168e-02
A0C417	1.44928e-02	2.89855e-02
A0C427	2.00803e-02	4.01606e-03
A0C43D	1.51515e-02	6.06061e-02
A0C579	3.50877e-02	3.50877e-02
A0C581	1.38889e-02	0.00000e+00
A0C5C7	1.55440e-02	1.55440e-02
A0C5DD	2.20264e-02	1.32159e-02
A0C5F2	2.28471e-02	3.33919e-02
A0C602	1.04712e-02	2.61780e-02
A0C675	8.45070e-03	1.97183e-02
A0C6E2	2.20820e-02	2.52366e-02
A0C6F0	2.34375e-02	2.34375e-02
A0C877	2.83505e-02	2.31959e-02
A0C923	4.05063e-02	3.29114e-02
A0C96F	1.90476e-02	2.85714e-02
A0CA1F	8.26446e-03	0.00000e+00
A0CAAD	7.78443e-02	4.79042e-02
A0CCAA	2.09790e-02	1.39860e-02
A0CCB0	8.26446e-03	1.65289e-02
A0CD41	3.57895e-02	2.73684e-02
A0CD52	2.24033e-02	2.44399e-02
A0CDAC	1.84900e-02	1.84900e-02
A0CE10	2.48815e-02	1.42180e-02
A0D030	2.15054e-02	1.07527e-02
A0D060	1.81452e-02	2.01613e-02
A0D0B1	1.36986e-02	9.58904e-02
A0D0C0	1.37174e-02	2.19479e-02
A0D0C1	1.49254e-02	1.99005e-02
A0D11E	1.06157e-02	3.18471e-02
A0D17E	2.97030e-02	2.97030e-02
A0D1BD	1.79372e-02	3.13901e-02
A0D277	2.98013e-02	1.65563e-02
A0D2DD	2.69542e-02	2.15633e-02
A0D34C	1.11421e-02	1.39276e-02
A0D3F3	7.38007e-03	3.32103e-02
A0D3FF	1.19048e-02	0.00000e+00
A0D483	3.70763e-02	1.37712e-02
A0D495	2.00000e-02	3.33333e-02
A0D536	8.77193e-03	8.77193e-03
A0D566	7.22022e-03	2.52708e-02
A0D570	1.68919e-02	2.70270e-02
A0D5C5	2.63158e-02	2.63158e-02
A0D5F0	1.68634e-02	3.37268e-02
A0D68F	2.45098e-02	1.96078e-02
A0D6A2	4.87805e-02	3.65854e-02
A0D6E8	3.89610e-02	1.29870e-02
A0D6EA	1.45530e-02	3.11850e-02
A0D75A	5.71429e-03	2.28571e-02
A0D796	4.00000e-02	1.33333e-02
A0D797	2.19780e-02	1.09890e-02
A0D85B	2.12121e-02	1.21212e-02
A0D872	3.66300e-02	1.83150e-02
A0D8FE	4.02299e-02	4.02299e-02
A0D948	4.14201e-02	4.73373e-02
A0D9D8	0.00000e+00	0.00000e+00
A0DB9A	4.38596e-03	1.75439e-02
A0DBCA	1.02041e-02	3.06122e-02
A0DBCC	2.23464e-02	2.79330e-02
A0DD5D	1.79153e-02	1.30293e-02
A0DD8F	0.00000e+00	0.00000e+00
A0DE64	2.99625e-02	2.62172e-02
A0DE66	3.50877e-02	4.38596e-02
A0DE9F	1.39373e-02	1.39373e-02
A0DEC2	2.20994e-02	1.10497e-02
A0DF80	9.63855e-03	2.89157e-02
A0DF88	2.34987e-02	1.30548e-02
A0DFC6	1.88679e-02	3.30189e-02
A0DFD8	1.21951e-02	3.81098e-02
A0E031	1.74538e-02	1.33470e-02
A0E105	3.34347e-02	2.12766e-02
A0E129	2.45902e-02	5.73770e-02
A0E15B	1.82371e-02	3.64742e-02
A0E1BA	2.29592e-02	2.55102e-02
A0E279	2.79070e-02	1.39535e-02
A0E322	1.08108e-02	1.08108e-02
A0E388	1.89189e-02	3.37838e-02
A0E396	1.16034e-02	2.53165e-02
A0E3E7	2.43902e-02	2.43902e-02
A0E424	9.38967e-03	4.69484e-03
A0E474	1.60772e-02	1.92926e-02
A0E524	3.43840e-02	2.29226e-02
A0E54F	7.95229e-03	2.78330e-02
A0E5CA	1.68067e-02	3.57143e-02
A0E743	4.20354e-02	6.63717e-03
A0E781	0.00000e+00	3.57143e-02
A0E81D	1.68421e-02	3.36842e-02
A0E837	2.36439e-02	2.50348e-02
A0E8B9	2.81294e-02	2.10970e-02
A0E902	2.03666e-02	1.62933e-02
A0E922	2.40642e-02	1.33690e-02
A0E97E	3.79147e-02	1.42180e-02
A0EA89	1.47059e-02	1.47059e-02
A0EA95	1.20240e-02	2.80561e-02
A0EB19	4.62963e-03	1.85185e-02
A0EB54	1.81518e-02	1.81518e-02
