ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
bee	2.340000e-01	2.340000e-01	2.292450e+01	7.488528e+00	-3.209409e-04	0.000000e+00	1.210861e-03	-2.660000e-01	6.589471e-04
belt	2.660000e-01	2.660000e-01	3.927392e+01	3.671303e+00	-1.834384e-03	0.000000e+00	1.432153e-03	-2.340000e-01	3.313217e-03
bigday	1.090000e-01	1.090000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.910000e-01	0.000000e+00
biggestfear	7.970000e-01	7.970000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.970000e-01	0.000000e+00
bigoted	2.810000e-01	2.810000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.190000e-01	0.000000e+00
birch	1.720000e-01	1.720000e-01	6.325637e-01	0.000000e+00	-3.783962e-05	0.000000e+00	1.891981e-05	-3.280000e-01	9.579976e-05
birth	2.030000e-01	2.030000e-01	1.805401e+01	3.041306e+00	-6.533875e-04	0.000000e+00	7.532873e-04	-2.970000e-01	1.497860e-03
bitch	2.970000e-01	2.970000e-01	2.235364e+01	4.465040e+00	-7.108870e-04	0.000000e+00	9.817393e-04	-2.030000e-01	1.113885e-03
blemish	2.660000e-01	2.660000e-01	1.381395e-01	0.000000e+00	-8.263429e-06	0.000000e+00	4.131715e-06	-2.340000e-01	1.492520e-05
blindfold	2.660000e-01	2.660000e-01	8.965148e-01	0.000000e+00	-5.362903e-05	0.000000e+00	2.681452e-05	-2.340000e-01	9.686339e-05
bloodshed	8.590000e-01	8.590000e-01	3.683446e-01	0.000000e+00	-2.203417e-05	0.000000e+00	1.101709e-05	3.590000e-01	-6.105694e-05
bloodthirsty	9.220000e-01	9.220000e-01	1.436278e+00	6.833333e-01	9.931457e-06	0.000000e+00	9.088310e-05	4.220000e-01	3.234963e-05
bloody	7.810000e-01	7.810000e-01	3.123242e+01	1.267053e+01	-9.105505e-05	0.000000e+00	1.822779e-03	2.810000e-01	-1.974942e-04
blues	2.190000e-01	2.190000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.810000e-01	0.000000e+00
bomb	9.350000e-01	9.350000e-01	6.424461e+01	2.924766e+01	2.593919e-04	0.000000e+00	3.972773e-03	4.350000e-01	8.709425e-04
bombard	7.400000e-01	7.400000e-01	1.861483e+00	1.428571e-01	-9.131482e-05	0.000000e+00	6.569549e-05	2.400000e-01	-1.691595e-04
bombardment	8.440000e-01	8.440000e-01	5.662265e-02	0.000000e+00	-3.387136e-06	0.000000e+00	1.693568e-06	3.440000e-01	-8.993629e-06
bomber	7.340000e-01	7.340000e-01	2.032138e+00	1.000000e+00	1.870517e-05	0.000000e+00	1.309140e-04	2.340000e-01	3.378480e-05
